"Team Name","Wins","Losses","Result","Division","Tournament"
"GFD Rogue","10","1","1","Premier","richmond2023"
"TRP Spotless","9","2","2","Premier","richmond2023"
"Judgment Day","9","2","3","Premier","richmond2023"
"GFD Grass Fed","7","4","4","Premier","richmond2023"
"Cigar Boys","7","2","5","Premier","richmond2023"
"Bot House","5","4","5","Premier","richmond2023"
"Bad Combo","6","3","5","Premier","richmond2023"
"Elixir","7","2","5","Premier","richmond2023"
"Hilltop","5","5","9","Premier","richmond2023"
"BD Energy","5","4","9","Premier","richmond2023"
"GFD Critical Hit","4","5","9","Premier","richmond2023"
"Glizzy Gladiators","3","7","9","Premier","richmond2023"
"WySpike Butterfingers","2","7","13","Premier","richmond2023"
"Trevor’s Teddy Bear","3","6","13","Premier","richmond2023"
"Faulty Service","7","2","13","Premier","richmond2023"
"A/B","2","7","13","Premier","richmond2023"
"ClubSpike Big Slick","5","3","17","Premier","richmond2023"
"Brock Lesnar","6","2","17","Premier","richmond2023"
"Chosen","6","2","17","Premier","richmond2023"
"GFD Evasive Maneuvers","5","3","17","Premier","richmond2023"
"Project Roundnet","5","3","17","Premier","richmond2023"
"Profit Boost","7","1","17","Premier","richmond2023"
"sexy","6","2","17","Premier","richmond2023"
"Coast To Coast","6","2","17","Premier","richmond2023"
"Sunday Special","5","3","25","Premier","richmond2023"
"GFD Shorter & Taller","6","2","25","Premier","richmond2023"
"Walter White's Tighty Whities","5","3","25","Premier","richmond2023"
"Quality Service","0","8","25","Premier","richmond2023"
"BorderLine","6","2","25","Premier","richmond2023"
"PRIME","6","2","25","Premier","richmond2023"
"PruGu","6","2","25","Premier","richmond2023"
"Glitch","4","4","25","Premier","richmond2023"
"CNU Dan Flashes","5","5","33","Premier","richmond2023"
"SOSD","4","5","34","Premier","richmond2023"
"Back2Basics","4","5","34","Premier","richmond2023"
"Monmouth Spikes","5","3","34","Premier","richmond2023"
"backpack","4","4","34","Premier","richmond2023"
"The Diamond Dogs","5","3","38","Premier","richmond2023"
"Jersey Boyz","4","4","38","Premier","richmond2023"
"Beeks/Drake","7","3","38","Premier","richmond2023"
"Griddy Guys","2","6","38","Premier","richmond2023"
"Spidey Sense","1","7","38","Premier","richmond2023"
"Savage Mode 2","5","2","38","Premier","richmond2023"
"Limitless Faith","3","4","38","Premier","richmond2023"
"Chilly Chillies","4","4","38","Premier","richmond2023"
"All Gas No Brakes","2","6","38","Premier","richmond2023"
"Collateral Damage","4","3","38","Premier","richmond2023"
"Jiddy","3","4","38","Premier","richmond2023"
"Inarizaki","1","6","49","Premier","richmond2023"
"Flying Clutchmen","3","4","49","Premier","richmond2023"
"Free Point Dif","2","5","49","Premier","richmond2023"
"Ilan’s older brothers","3","4","49","Premier","richmond2023"
"BOT Sons of Thunder","1","6","49","Premier","richmond2023"
"Skill Gapped","3","4","49","Premier","richmond2023"
"Come and Go","3","4","49","Premier","richmond2023"
"Small Dawgz","0","7","49","Premier","richmond2023"
"Benny Boo & Jare Bear","2","5","49","Premier","richmond2023"
"@bperl1#3268","0","7","49","Premier","richmond2023"
"SubZero","2","5","49","Premier","richmond2023"
"BYE","0","7","49","Premier","richmond2023"
"Sick Nasty","3","4","49","Premier","richmond2023"
"White Lotus Roundnet","0","7","49","Premier","richmond2023"
"Bake and Shake","2","5","49","Premier","richmond2023"
"the Red House","0","7","49","Premier","richmond2023"
"TWINZ","9","0","1","Womens","richmond2023"
"Zoomies","7","3","2","Womens","richmond2023"
"No Hype","9","1","3","Womens","richmond2023"
"Tile Swap","3","7","4","Womens","richmond2023"
"Space Monkeys ??","7","1","5","Womens","richmond2023"
"Angeletti/Dohm","5","3","5","Womens","richmond2023"
"Sisters-in-Law","2","6","5","Womens","richmond2023"
"Office Depot® Brand Sticky Notes","7","1","5","Womens","richmond2023"
"Gormley/Vogt","3","5","9","Womens","richmond2023"
"April Fools Came Late?","3","4","9","Womens","richmond2023"
"Liz and Lourna","3","5","9","Womens","richmond2023"
"OK??","0","7","12","Womens","richmond2023"
"banana & potato","2","5","12","Womens","richmond2023"
"Tessa&Audge","1","7","12","Womens","richmond2023"
"Team Shorties","1","7","12","Womens","richmond2023"
"Slow Jamz","9","0","1","Contender","richmond2023"
"IputthedopeinthebackofthecarandItellhtg","7","2","2","Contender","richmond2023"
"Sucky Sucky is good","8","1","3","Contender","richmond2023"
"True Outcome","6","3","4","Contender","richmond2023"
"Dinomite","8","1","5","Contender","richmond2023"
"Zebra Caked","6","3","5","Contender","richmond2023"
"Not Lefties","5","4","7","Contender","richmond2023"
"Funk","7","2","7","Contender","richmond2023"
"Wise Men of the West","5","1","9","Contender","richmond2023"
"Absolutely Torqued","5","1","9","Contender","richmond2023"
"Brown Boys","5","1","9","Contender","richmond2023"
"Insanity","5","1","9","Contender","richmond2023"
"Border Control","5","1","9","Contender","richmond2023"
"Bull City","4","2","9","Contender","richmond2023"
"Diesel Locomotives","5","1","9","Contender","richmond2023"
"Get that Chorn outta my face!!!!","5","1","9","Contender","richmond2023"
"Elevate","4","2","17","Contender","richmond2023"
"Twist and Shout Slush","4","2","17","Contender","richmond2023"
"J316","4","2","17","Contender","richmond2023"
"NYC Lemons","3","2","17","Contender","richmond2023"
"Pigeon","3","2","17","Contender","richmond2023"
"Buffet?","3","2","17","Contender","richmond2023"
"Can't believe it's not butter","2","3","17","Contender","richmond2023"
"Risky Business","4","1","17","Contender","richmond2023"
"GWR Vengeance","3","2","17","Contender","richmond2023"
"Silly Geese","3","2","17","Contender","richmond2023"
"Hatmen","2","3","17","Contender","richmond2023"
"Bandaid Boys","3","2","17","Contender","richmond2023"
"Torqued","3","2","17","Contender","richmond2023"
"Go Fish","3","3","17","Contender","richmond2023"
"Black Lotus","3","3","17","Contender","richmond2023"
"Chase’s Peanut Allergy","3","3","17","Contender","richmond2023"
"TWISTED T","7","2","33","Contender","richmond2023"
"Lobster Trap","6","3","34","Contender","richmond2023"
"DNA","4","4","35","Contender","richmond2023"
"Giddy Goats","5","3","35","Contender","richmond2023"
"Shock Value","4","3","37","Contender","richmond2023"
"Rocky Road","4","3","37","Contender","richmond2023"
"Chicken Wing","4","3","37","Contender","richmond2023"
"Gingers of UVA","3","4","37","Contender","richmond2023"
"Ballbarians","4","3","41","Contender","richmond2023"
"Low Expectations","3","3","41","Contender","richmond2023"
"Paint Splatter","2","4","41","Contender","richmond2023"
"Danimals","3","3","41","Contender","richmond2023"
"All Katz no Dawg","2","4","41","Contender","richmond2023"
"Kleenex Box","2","4","41","Contender","richmond2023"
"B Bracket Warriors","3","3","41","Contender","richmond2023"
"My cows","3","4","41","Contender","richmond2023"
"MD Boys","5","3","49","Contender","richmond2023"
"Too Much Sandwich","2","5","49","Contender","richmond2023"
"can you center?","2","4","49","Contender","richmond2023"
"Biden’s Necromancer Kush","3","5","49","Contender","richmond2023"
"wet net","2","4","49","Contender","richmond2023"
"The Incredibles","1","5","49","Contender","richmond2023"
"Buckets","1","5","49","Contender","richmond2023"
"Nefarious","2","5","49","Contender","richmond2023"
"Two of a Kind","3","3","49","Contender","richmond2023"
"Jimmy Way","2","4","49","Contender","richmond2023"
"*Not* Rookie SZN","1","4","49","Contender","richmond2023"
"Switz & Steamer","1","4","49","Contender","richmond2023"
"Twizzlers","4","3","49","Contender","richmond2023"
"What's Good in the Wood","2","4","49","Contender","richmond2023"
"Farm Boys","2","5","49","Contender","richmond2023"
"Hot Pockets 2.0","1","5","49","Contender","richmond2023"
"Sandbagging But Injured","4","4","65","Contender","richmond2023"
"Shredders","4","4","66","Contender","richmond2023"
"TRP VT B3","2","5","67","Contender","richmond2023"
"Ya Look Dusty","2","5","67","Contender","richmond2023"
"Sheetz????","2","4","69","Contender","richmond2023"
"pelosi’s favorites","1","4","69","Contender","richmond2023"
"Bert & Ernie","1","5","69","Contender","richmond2023"
"Headband Warriors","2","4","69","Contender","richmond2023"
"SMASH OR PASS","0","5","73","Contender","richmond2023"
"The Beach Boyz","0","5","73","Contender","richmond2023"
"Wild Cards","0","5","73","Contender","richmond2023"
"Shuijiao/??","0","5","73","Contender","richmond2023"
"Hitmen","0","5","73","Contender","richmond2023"
"dem boys","0","5","73","Contender","richmond2023"
"keen hands","0","5","73","Contender","richmond2023"
"Partly Cloudy","8","2","1","Advanced","richmond2023"
"Glen Did It","8","2","2","Advanced","richmond2023"
"STEEZY","8","1","3","Advanced","richmond2023"
"Setting Masterclass","6","3","4","Advanced","richmond2023"
"Hi chews","6","2","5","Advanced","richmond2023"
"Cartmen","4","4","5","Advanced","richmond2023"
"Rogo bros","5","3","5","Advanced","richmond2023"
"Soft Serve","4","4","5","Advanced","richmond2023"
"MBR Red Panda","3","6","9","Advanced","richmond2023"
"Pocket Rockets","2","5","9","Advanced","richmond2023"
"Gahdam 47","1","7","9","Advanced","richmond2023"
"Injury Reserve","2","6","9","Advanced","richmond2023"
"Boston ? St. Louis","0","8","9","Advanced","richmond2023"
"Paul Gobrial","2","6","9","Advanced","richmond2023"
"Receive These Balls","8","0","1","Intermediate","richmond2023"
"Bron Squad","4","2","2","Intermediate","richmond2023"
"Spike Tyson","5","1","3","Intermediate","richmond2023"
"Splash Bros","4","4","4","Intermediate","richmond2023"
"Spiked Punch","5","3","5","Intermediate","richmond2023"
"Tall Team","3","6","6","Intermediate","richmond2023"
"Primal Instinct","2","4","7","Intermediate","richmond2023"
"Pocket Dogs","3","4","7","Intermediate","richmond2023"
"Ball Help!","0","4","9","Intermediate","richmond2023"
"Powerpuff girlss","0","6","9","Intermediate","richmond2023"
"Golden Hour","8","0","1","Mixed Advanced","richmond2023"
