"Team 1","Team 2","Players 1","Players 2","Score 1","Score 2","Tournament Stage","Tournament Name","Division"
"Judgment Day","Glizzy Gladiators","null, null","null, null","21","17","Pool Play","richmond2023","Premier"
"GFD Rogue","WySpike Butterfingers","null, null","null, null","21","12","Pool Play","richmond2023","Premier"
"Bad Combo","Trevor’s Teddy Bear","null, null","null, null","21","13","Pool Play","richmond2023","Premier"
"GFD Critical Hit","GFD Grass Fed","null, null","null, null","22","20","Pool Play","richmond2023","Premier"
"Elixir","Quality Service","null, null","null, null","21","11","Pool Play","richmond2023","Premier"
"Cigar Boys","Hilltop","null, null","null, null","22","20","Pool Play","richmond2023","Premier"
"A/B","Bot House","null, null","null, null","21","23","Pool Play","richmond2023","Premier"
"TRP Spotless","BD Energy","null, null","null, null","19","21","Pool Play","richmond2023","Premier"
"Chilly Chillies","Spidey Sense","null, null","null, null","21","12","Pool Play","richmond2023","Premier"
"GFD Shorter & Taller","Flying Clutchmen","null, null","null, null","21","18","Pool Play","richmond2023","Premier"
"Profit Boost","Jiddy","null, null","null, null","21","13","Pool Play","richmond2023","Premier"
"Jersey Boyz","Inarizaki","null, null","null, null","21","19","Pool Play","richmond2023","Premier"
"ClubSpike Big Slick","All Gas No Brakes","null, null","null, null","21","16","Pool Play","richmond2023","Premier"
"Limitless Faith","Brock Lesnar","null, null","null, null","19","21","Pool Play","richmond2023","Premier"
"PRIME","Griddy Guys","null, null","null, null","21","16","Pool Play","richmond2023","Premier"
"backpack","Beeks/Drake","null, null","null, null","21","19","Pool Play","richmond2023","Premier"
"BorderLine","Free Point Dif","null, null","null, null","21","16","Pool Play","richmond2023","Premier"
"Benny Boo & Jare Bear","SubZero","null, null","null, null","19","21","Pool Play","richmond2023","Premier"
"GFD Evasive Maneuvers","Ilan’s older brothers","null, null","null, null","21","16","Pool Play","richmond2023","Premier"
"Savage Mode 2","BOT Sons of Thunder","null, null","null, null","21","16","Pool Play","richmond2023","Premier"
"Faulty Service","the Red House","null, null","null, null","21","12","Pool Play","richmond2023","Premier"
