"Team 1","Team 2","Round","Tournament","Team 1 Scores","Team 2 Scores","Division"
"GFD Rogue","Project Roundnet","Round of 32","richmond2023","[21, 21]","[12, 13]","Premier"
"Quality Service","Faulty Service","Round of 32","richmond2023","[18, 17]","[21, 21]","Premier"
"Bot House","sexy","Round of 32","richmond2023","[21, 19, 21]","[16, 21, 9]","Premier"
"BD Energy","Sunday Special","Round of 32","richmond2023","[21, 21]","[12, 19]","Premier"
"Judgment Day","Chosen","Round of 32","richmond2023","[21, 21]","[17, 13]","Premier"
"A/B","PruGu","Round of 32","richmond2023","[19, 21, 21]","[21, 14, 17]","Premier"
"Cigar Boys","GFD Evasive Maneuvers","Round of 32","richmond2023","[21, 24]","[16, 22]","Premier"
"GFD Critical Hit","PRIME","Round of 32","richmond2023","[21, 19, 21]","[18, 21, 19]","Premier"
"Elixir","Glitch","Round of 32","richmond2023","[21, 21]","[14, 17]","Premier"
"WySpike Butterfingers","Profit Boost","Round of 32","richmond2023","[21, 21]","[16, 18]","Premier"
"GFD Grass Fed","Walter White's Tighty Whities","Round of 32","richmond2023","[21, 21]","[14, 18]","Premier"
"Hilltop","Coast To Coast","Round of 32","richmond2023","[21, 21]","[17, 17]","Premier"
"TRP Spotless","ClubSpike Big Slick","Round of 32","richmond2023","[21, 21]","[16, 15]","Premier"
"Glizzy Gladiators","BorderLine","Round of 32","richmond2023","[21, 15, 32]","[15, 21, 30]","Premier"
"Bad Combo","Brock Lesnar","Round of 32","richmond2023","[21, 21]","[15, 13]","Premier"
"Trevor’s Teddy Bear","GFD Shorter & Taller","Round of 32","richmond2023","[17, 23, 21]","[21, 21, 18]","Premier"
"GFD Rogue","Faulty Service","Round of 16","richmond2023","[21, 21]","[19, 13]","Premier"
"Bot House","BD Energy","Round of 16","richmond2023","[24, 15, 21]","[22, 21, 17]","Premier"
"Judgment Day","A/B","Round of 16","richmond2023","[23, 21]","[21, 13]","Premier"
"Cigar Boys","GFD Critical Hit","Round of 16","richmond2023","[21, 21]","[10, 19]","Premier"
"Elixir","WySpike Butterfingers","Round of 16","richmond2023","[21, 21]","[12, 12]","Premier"
"GFD Grass Fed","Hilltop","Round of 16","richmond2023","[24, 21]","[22, 17]","Premier"
"TRP Spotless","Glizzy Gladiators","Round of 16","richmond2023","[21, 21]","[17, 10]","Premier"
"Bad Combo","Trevor’s Teddy Bear","Round of 16","richmond2023","[0, 0]","[-1, -1]","Premier"
"GFD Rogue","Bot House","Quarter-finals","richmond2023","[21, 16, 21]","[18, 21, 15]","Premier"
"Judgment Day","Cigar Boys","Quarter-finals","richmond2023","[17, 21, 21]","[21, 17, 14]","Premier"
"Elixir","GFD Grass Fed","Quarter-finals","richmond2023","[20, 16]","[22, 21]","Premier"
"TRP Spotless","Bad Combo","Quarter-finals","richmond2023","[16, 21, 21]","[21, 18, 19]","Premier"
"GFD Rogue","Judgment Day","Semi-finals","richmond2023","[21, 13, 21]","[18, 21, 13]","Premier"
"GFD Grass Fed","TRP Spotless","Semi-finals","richmond2023","[21, 12, 19]","[14, 21, 21]","Premier"
"GFD Rogue","TRP Spotless","Final","richmond2023","[21, 21]","[18, 17]","Premier"
"GFD Grass Fed","Judgment Day","Third Place","richmond2023","[18, 19]","[21, 21]","Premier"
"Angeletti/Dohm","April Fools Came Late?","Round of 16","richmond2023","[21, 21]","[16, 10]","Womens"
"Tile Swap","Team Shorties","Round of 16","richmond2023","[21, 21]","[8, 7]","Womens"
"Space Monkeys ??","Liz and Lourna","Round of 16","richmond2023","[21, 21]","[11, 16]","Womens"
"Zoomies","OK??","Round of 16","richmond2023","[21, 21]","[10, 18]","Womens"
"Office Depot® Brand Sticky Notes","banana & potato","Round of 16","richmond2023","[21, 21]","[11, 19]","Womens"
"Sisters-in-Law","Tessa&Audge","Round of 16","richmond2023","[21, 21]","[14, 10]","Womens"
